ep_num,ep_title,ep_air_date,ep_guest1,ep_guest2,ep_joke,ep_joke_topic,ep_smi,ep_smi_topic,ep_round_t,ep_round_h,ep_url
25,Episode 25: Stop Telling Women To Smile (with Tatyana Fazlalizadeh),9/22/15,Tatyana Fazlalizadeh,n/a,n/a,n/a,n/a,n/a,Gil Scott-Heron song,Lion King 2 soundtrack,https://megaphone.link/BUZ2650957033
26,Episode 26: Stay In Your Lane (with Dr. Adrienne Keene),9/29/15,Adrienne Keene,n/a,n/a,n/a,n/a,n/a,people with tattoos,"Stay in your land, stop swervin",https://megaphone.link/BUZ5348339817
27,"Episode 27: No New Friends, My Squirrel Dude (with Alexis Wilkinson)",10/6/15,Alexis Wilkinson,n/a,joke,a dead frog,n/a,n/a,Ross dress for less,immigrant kids,https://megaphone.link/BUZ8028335804
28,"Episode 28: Madam Secretary, What's Good? (with Hillary Clinton)",10/11/15,Hillary Clinton,n/a,n/a,n/a,n/a,n/a,cast of Hamilton,The Good Wife,https://megaphone.link/BUZ2877965716
29,Episode 29: What's On Your Reparations Tab? (with Ta-Nehisi Coates),10/20/15,Ta-Nehisi Coates,n/a,n/a,n/a,n/a,n/a,nachos,puzzles,https://megaphone.link/BUZ9916130607
30,Episode 30: Frimfram Fittlesworth (with Lena Dunham),10/27/15,Lena Dunham,n/a,n/a,n/a,n/a,n/a,ice water,BoJack Horseman,https://megaphone.link/BUZ9177246148
shot_4,Shot #4: You Are Beautiful,11/3/15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ2199768352
31,Episode 31: You Gon' Get This Blackness (with Shani O. Hilton),11/10/15,Shani Hilton,n/a,joke,three wishes,n/a,n/a,wallets,Dear Sugar,https://megaphone.link/BUZ8544496647
32,Episode 32: The Yum Center (with Melissa Harris-Perry),11/17/15,Melissa Harris-Perry,n/a,n/a,n/a,n/a,n/a,good gynos,Jane the Virgin,https://megaphone.link/BUZ2090252075
shot_5,Shot #5: Space Turkey,11/24/15,n/a,n/a,joke,turkeys,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ6157410941
33,Episode 33: Pick A Slay (with Uzo Aduba),12/1/15,Uzo Aduba,n/a,n/a,n/a,Y,cover letters,the holidays,soup,https://megaphone.link/BUZ5014099921
34,Episode 34: The Most Introverted Sasha Fierce (with Aparna Nancherla),12/8/15,Aparna Nancherla,n/a,n/a,n/a,n/a,n/a,Poorly Drawn Lines,Facebook babies,https://megaphone.link/BUZ2461843107
shot_6,Shot #6: Yung Hieronymus,12/15/15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ1757900915
35,Episode 35: Heben & Tracy's Kwanzaa Spectacular,12/22/15,Stacy-Marie Ishmael,Gene Demby,joke,"(I don't remember, but it was a good one)",Y,n/a,Charlie Brown / Franklin,ice cream cakes,https://megaphone.link/BUZ1359047206
shot_7,Shot #7: Blackation,12/29/15,Blackation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://megaphone.link/BUZ9383847530
36,Episode 36: U Mad? (with Margaret Cho),1/5/16,Margaret Cho,n/a,n/a,n/a,n/a,n/a,cheese,Emeli Sande - Full of Wonder,https://megaphone.link/BUZ4175564017
37,Episode 37: The Room Where It Happens (with Valerie Jarrett),1/10/16,Valerie Jarrett,n/a,n/a,n/a,n/a,n/a,true crime podcasts,Bow Down/Flawless,https://megaphone.link/BUZ9282194379
38,Episode 38: Let Black Girls Be Funny (with Janelle James),1/19/16,Janelle James,n/a,n/a,n/a,Y,LinkedIn,Settlers of Catan,Stephen Colbert / magazines,https://megaphone.link/BUZ2761176440
39,Episode 39: The Betrayer of the Patriarchy (with Anil Dash),1/26/16,Anil Dash,n/a,n/a,n/a,n/a,n/a,people who take meds,fake eyelashes,https://megaphone.link/BUZ8413050398
40,Episode 40: Blacker History Month (with Marlon Wayans),2/2/16,Marlon Wayans,n/a,n/a,n/a,n/a,n/a,Donny Hathaway,braids,https://megaphone.link/BUZ2390559668
41,"Episode 41: To Be Young, Gifted and Black (with Hannibal Buress)",2/9/16,Hannibal Buress,n/a,n/a,n/a,n/a,n/a,Lorraine Hansberry,Arthur,https://megaphone.link/BUZ2126534589
42,Episode 42: Fried Chicken Is A Battleground (with Wyatt Cenac),2/16/16,Wyatt Cenac,n/a,n/a,n/a,n/a,n/a,fried chicken,archivists,https://megaphone.link/BUZ3523446661
43,Episode 43: A Gumbo of Afrofuturism (with Vann R. Newkirk II),2/23/16,Vann Newkirk II,n/a,n/a,n/a,n/a,n/a,lady who crashed own funeral,the Proud Family,https://megaphone.link/BUZ3523446661
44,Episode 44: Mommy's Side Piece (with Eugene Mirman & John Roberts),3/1/16,Eugene Mirman,John Roberts,n/a,n/a,Y,internships,friends,projectors,https://megaphone.link/BUZ9420404990
45,Episode 45: Practical Tactical Brilliance (with Lin-Manuel Miranda),3/8/16,Lin-Manuel Miranda,n/a,n/a,n/a,n/a,n/a,brussels sprouts,Dormtainment,https://megaphone.link/BUZ6447452163
46,Episode 46: Challenging & Unpredictable (with Melissa Harris-Perry),3/15/16,Melissa Harris-Perry,n/a,n/a,n/a,n/a,n/a,good rum,Ludacris,https://megaphone.link/BUZ9380263772
47,Episode 47: Don't @ Me (with Bim Adewunmi),3/22/16,Bim Adewunmi,n/a,n/a,n/a,n/a,n/a,gospel music,bread,https://megaphone.link/BUZ6300831951
48,"Episode 48: Revolutions Are Hard, Eyeliner Is Hard (with Maryam Al-Khawaja)",3/29/16,Maryam Al-Khawaja,n/a,joke,a bank robber,n/a,n/a,Al Sharpton,Lorde,https://megaphone.link/BUZ4697179555
